qid,q,a,b,c,d,ans,marks
1,Kumpulan objek yang mewakili suatu entitas disebut ?,Data,Data global,Dataset,Big data,c,1
2,"Bagian data, yang mewakili karakteristik/ feature dari objek data disebut ?",Attribut,Warehouse,Feature,Variable,a,1
3,Istilah dimensi digunakan dalam  literatur ?,Attribut,Warehouse,Feature,Variable,b,1
4,Attribut nominal dikenal juga dengan ?,Numerik,Biner,Kategorikal,Ordinal,c,1
5,Arsitektur big data adalah struktur keseluruhan yang merepresentasikan ?,Data & Database,Logical & Physical,Waktu & Efesiensi,Komponen Big Data,b,1
6,"Jika data terhitung ringan, tahapan setelah real time streaming processor adalah data akan langsung disimpan dalam ?",Database,BigData,Data Proses,Data Source,d,1
7,"Pemanfaatan dari adanya big data ini juga bisa meminimalisir kegagalan. Setelah menganalisisnya, hasil analisis dapat ditampilkan secara ?",Langsung,Virtual,Tidak Langsung,Gambar/Visualisasi,a,1
8,Saat ini big data sering digunakan untuk ?,Artificial Inteeligence,IoT,Data Science,Semua Jawaban Benar,d,1
9,Menonton video dan mendengarkan lagu di internet adalah salah satu contoh penggunaan Big Data pada ?,Penggunaan Internet,Sosial Media,Digitalisasi Media,Semua Jawaban Benar,c,1
10,Teknologi canggih dengan kapasitas lebih besar dan kumpulan data yang lebih kompleks. Pernyataan tersebut merujuk pada ?,Data Science,Data Mining,Big-Data,Artificial Intelligence,c,1
